,clean
362,yeah care man hey thank come hey nice tie nelson
363,ah thank dad
364,try good baby sitter fail feeb useless old wear
365,lisa strong unpleasant feeling
366,call remorse vile burlesque irrepressible youth
368,grab bucket brush clean hard fast
369,champion champion time loser cause champion worlllld
371,hi honey uh oh marriage retreat go
373,come retreat think marriage trouble minute thought trouble homer expect believe
374,marge know fish mean fish represent well life fish make champion hero
376,weirdo worm store
377,fish represent selfish
378,way feel throw
379,oh yeah sure
381,wow give fame breakfast marriage fight hour say word toss tell marriage trouble come baby
386,oh house look wonderful grampa secret
387,pretend cry right hear pretend cry turn like fawcet boo hoo oh cry sad
389,trust old person
390,fool long sucker hee hee hee
391,yup general sherman pound dwelling fury know know old ask people year day
393,fella come close go homer seven foot tall arm like tree trunk eye like steel cold hard shock hair red like fire hell
394,hurry mom convention soon good comic_strip go
395,wow number fallout boy ward
396,care good comic_strip buy casper wimpy ghost
397,think sad equate friendliness wimpiness hope achieve true popularity
398,know think think casper ghost richie rich
399,hey look alike
400,wonder richie die
401,realize hollow pursuit money take life
402,kid lighten little
403,radioactive man rule punch bad guy say cool
405,oh yeah look knock guy sun say hot ya
408,bad come dress popular cartoon character
409,look like discount
415,uh ahem young people springfield mayor like welcome annual funny book convention thank pump dollar local economy
416,youthful high spirit impart glow old war horse feel like radiation man
417,radioactive man jerk
418,stand correct fun sure clear shriner punk make fool diamond joe quimby
419,excuse sir turn left vulcan ear
421,let get utility belt couple tricorder light saber sorry kid
422,hey bart dude
423,hey otto man oooh
424,idea comic book little man dude drive school bus day night fight vampire post apocalyptic warzone
426,come bart go buddy hodge
427,guy play fallout boy tv
429,wow guess kill vietnam
430,aaahh laramie cigarette steady nerve need combat evil
431,gee whilliker radioactive man wisht old smoke laramie
432,sorry fallout boy sixteen
434,radioactive man act time save earth
435,great y'know kid sure like remember actor dirk richter portrayal radioactive man sordid detail final year let question tasteful okay big welcome buddy fallout boy hodge
437,radioactive man got inject shrink serum issue thirty come costume shrink
438,sure know finish play rum tum tugger second national tour company cat anybody
439,ooh ooh ooh ooh fallout boy oh oh
440,yes masked boy
441,think ghost dirk richter haunt bordello bullet riddled body find
442,dirk richter beautiful man little vulture leave
443,hey radioactive man number seventy imaginary tale radioactive man marry larva girl
444,tell special promise grubby little hand them
446,wow radioactive man number
448,bet worth million buck
449,lad let remind
452,moment know god earth know buy comic book
453,emotion place son
455,yeah mom guess dollar man sell thirty casper dozen lois lane
457,know superman see wonder woman golden lariat tie time
459,kid marge hey dinner krusty burger treat
460,right homer whoa sport dad take fine restaurant like krusty burger
462,need dollar comic book
463,buck comic book draw micha ma langelo
464,oh dad want world
481,look son know usually bug like mad try show pay attention know go to dollar go to stop bug
503,hee hee win face yeah like apple woo hoo hoo
504,gloat homer know bart age thing want world child size electric lightbulb oven parent money go sister patty selma
506,uh huh slave
507,give lot free time
508,uh huh let smoking
509,month work work sister smoke smoke
510,venus oh venus
511,want dress shield hand wash drip dry
514,big day finally come work lightbulb warm treat taste extra good
515,maybe time job answer
516,aw mom ask take care maggie lisa handful
517,mean job stupid
519,job realize time little piece childhood slip away forever
522,moment dad close
525,need money lot money ahh
529,ooh good like deposit defray cost jumbo cherry squishie
530,today need dime
531,oh good learn trade
533,americanize good man
535,coin worth lousy cent
536,let good time roll
537,oh humiliating feel like geek
539,terrible car slow laugh buying
540,maybe need play sympathy let
541,ah ha look pathetic
542,lemonade suck need new product let ah
543,form line crowd cheap beer sympathetic ear step right
544,ah bart credit little short week
546,uh get liquor license young fella
547,ugh dog eat
548,get to license sell beer
549,write ticket guy thirsty couple house
550,ell see offense
552,long officer uh oh
554,beer beer beautiful beer
555,poor boy desperate want earn money buy comic book
556,comic book oh boy change nazi smasher
558,send house get chore know mix whitewash
560,eh burt simpson look like get strong young
561,like eat get dry apricot almond paste sauerkraut candy
563,oh brother asa kill great war hold grenade long
564,kaiser bill special delivery uncle sam boy d company yeah johnny harrison brooklyn bob reggie yeah reggie be stick know
565,ribbon candy boy love candy
567,boy love candy
568,oh yes ma'am
569,ugh think work ma'am
570,start little light yard work nice barley pop
571,want clear weed know one weed
574,careful inside watch story
579,filthy genuinely arouse
581,merciful heaven bleed iodine
583,listen lady yaaauuuuggghhh
588,think mrs glick nice poor old thing anybody
590,sludge certainly collect downspout
591,sludge old bat
592,today wash beulah know
593,old lady thing hear year
594,wedding dress dye black mourning dress
595,great story lady
596,night dream hold arm
597,iodine burn germ torch amputate arm yaaauuuggghhh
598,payday wager look forward
601,deserve penny know tell lot girlfriend chore
604,listen lady leave scream leave say bad word way say thank
605,welcome right spend penny whistle moon pie
606,moon pie butt somebody oughta moon pie
608,bustin ' hump week wither old clam get cent
609,hey age cent lot money
612,dad get thirty buck ugh work working chump
613,son proud twice age figure
615,buck forget stool
616,get sell seed visit aunt nursing home fish dime sewer god sake
619,freakin ' kid need get masters degree folklore mythology
620,excuse carl yastrzemski baseball card big sideburn
621,thirty buck be get be gettin ' stool
622,wait minute martin milhouse go buy copy radioactive man right
626,freakin ' kid
627,look pal get buck like buy radioactive man waddle
629,wow breathe boy
631,smell like grandpa
632,uh oh look like rain well baby home
634,look like buy bargain
635,pant catch barb wire good lord choke bomb
